County Cod,State Code,Census Tra,Geoid,Holc Grade,Holc Id,Id,Map Id,Msamd,Municipali,Name,Polygon Id,St Name,State,Year,Geometry,Holc Area,Holc Prop,Sheets,Tract Prop
1,6,422400,6001422400,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.051989964,1,0.145163303
1,6,421100,6001421100,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.312348094,1,0.803105918
1,6,421400,6001421400,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.017100858,1,0.069041962
1,6,421200,6001421200,A,A2,17,17,36084,,,6663,Oakland,CA,2019,Polygon,0.2570575,0.523994486,1,0.257339367
1,6,421800,6001421800,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.256653935,1,0.638236582
1,6,421200,6001421200,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.038910501,1,0.037720226
1,6,421900,6001421900,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.071594673,1,0.109817326
1,6,420600,6001420600,B,B4,17,17,36084,,,6667,Oakland,CA,2019,MultiPolygon,0.507409085,0.013096706,1,0.021802462
1,6,422500,6001422500,B,B5,17,17,36084,,,6668,Oakland,CA,2019,MultiPolygon,0.427332834,0.040719353,1,0.097902459
1,6,422500,6001422500,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.312534152,1,0.901517855
1,6,421600,6001421600,C,C5,17,17,36084,,,6670,Oakland,CA,2019,MultiPolygon,0.512684728,0.003331946,1,0.003325767
1,6,421700,6001421700,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.056698516,1,0.131202942
1,6,421600,6001421600,A,A3,17,17,36084,,,6665,Oakland,CA,2019,MultiPolygon,0.500162874,0.529647064,1,0.515752732
1,6,421400,6001421400,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.139726098,1,0.386762535
1,6,422400,6001422400,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.028151216,1,0.06551645
1,6,425104,6001425104,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,0.002492963,1,0.006011706
1,6,405600,6001405600,B,B20,17,17,36084,,,6705,Oakland,CA,2019,Polygon,0.136569375,0.009452027,1,0.007797391
1,6,421500,6001421500,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.459580187,1,0.373423302
1,6,422200,6001422200,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.407373922,1,0.586101408
1,6,421900,6001421900,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.590889558,1,0.66959167
1,6,423902,6001423902,C,C7,17,17,36084,,,6676,Oakland,CA,2019,MultiPolygon,0.508972394,0.077608368,1,0.319916246
1,6,421600,6001421600,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.534124211,1,0.444377481
1,6,421700,6001421700,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.09752218,1,0.188101028
1,6,421500,6001421500,B,B5,17,17,36084,,,6668,Oakland,CA,2019,MultiPolygon,0.427332834,0.040180224,1,0.027893774
1,6,421400,6001421400,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.233442573,1,0.544195505
1,6,422300,6001422300,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.240314921,1,0.282595404
1,6,421800,6001421800,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.278447676,1,0.347000865
1,6,400100,6001400100,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.006385649,1,0.00123204
1,6,422600,6001422600,C,C5,17,17,36084,,,6670,Oakland,CA,2019,MultiPolygon,0.512684728,0.569059505,1,0.439822391
1,6,404501,6001404501,B,B12,17,17,36084,,,6685,Oakland,CA,2019,MultiPolygon,0.573773212,0.000429408,1,0.000572988
1,6,400100,6001400100,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.838223402,1,0.16522725
1,6,422700,6001422700,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.13396023,1,0.527743227
1,6,422600,6001422600,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.027816257,1,0.021964455
1,6,422000,6001422000,D,D3,17,17,36084,,,6672,Oakland,CA,2019,MultiPolygon,1.38031327,0.744138967,1,0.256721529
1,6,425103,6001425103,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.004955915,1,0.020088975
1,6,423200,6001423200,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.117531427,1,0.919875246
1,6,400800,6001400800,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.001094912,1,0.005630254
1,6,422100,6001422100,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.131528115,1,0.854206279
1,6,420400,6001420400,D,D3,17,17,36084,,,6672,Oakland,CA,2019,MultiPolygon,1.38031327,4.27E-05,1,5.57E-05
1,6,423700,6001423700,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.310349988,1,0.268846709
1,6,423602,6001423602,C,C6,17,17,36084,,,6673,Oakland,CA,2019,MultiPolygon,0.248860724,0.002694273,1,0.004307275
1,6,423601,6001423601,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.000447212,1,0.000549253
1,6,422700,6001422700,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.236891744,1,0.443405029
1,6,422800,6001422800,C,C6,17,17,36084,,,6673,Oakland,CA,2019,MultiPolygon,0.248860724,0.446300378,1,0.704070711
