,NAME_x,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,tract,block group,S0601_C01_047E,S1501_C01_006E,S1501_C01_014E,S1501_C01_015E,S2801_C01_001E,S2801_C01_002E,S2801_C01_012E,pct_white,pct_black,pct_native,pct_asian,pct_hisp,pct_other,median_income,pct_college,pct_hs_grad,pct_device_access,pct_internet_access,GEOID,GEOID_tract
36,"Block Group 1, Census Tract 4039, Alameda County, California",1769,1570,843,213,9,448,0,0,57,28,29,199,61,0,403900,1,61573,3405,3207,2506,2059,2008,1984,0.4765404183154324,0.12040700960994913,0.005087620124364048,0.2532504239683437,0.11249293386093838,0.0644431882419446,61573,0.7359765051395007,0.9418502202643172,0.975230694511899,0.9635745507527926,60014039001,6001403900
37,"Block Group 3, Census Tract 4039, Alameda County, California",1450,1406,863,267,0,161,0,0,115,0,115,44,34,0,403900,3,61573,3405,3207,2506,2059,2008,1984,0.5951724137931035,0.18413793103448275,0.0,0.11103448275862068,0.030344827586206897,0.15862068965517243,61573,0.7359765051395007,0.9418502202643172,0.975230694511899,0.9635745507527926,60014039003,6001403900
38,"Block Group 2, Census Tract 4039, Alameda County, California",832,774,615,69,0,46,0,0,44,0,44,58,58,0,403900,2,61573,3405,3207,2506,2059,2008,1984,0.7391826923076923,0.0829326923076923,0.0,0.055288461538461536,0.06971153846153846,0.10576923076923077,61573,0.7359765051395007,0.9418502202643172,0.975230694511899,0.9635745507527926,60014039002,6001403900
39,"Block Group 2, Census Tract 4077, Alameda County, California",871,699,274,304,0,67,17,0,37,0,37,172,90,14,407700,2,42363,3138,2887,1378,1651,1605,1514,0.3145809414466131,0.34902411021814006,0.0,0.07692307692307693,0.19747416762342135,0.1044776119402985,42363,0.4391332058636074,0.920012746972594,0.9721380981223501,0.9170199878861296,60014077002,6001407700
40,"Block Group 3, Census Tract 4077, Alameda County, California",926,733,275,344,0,56,0,0,58,0,58,193,151,0,407700,3,42363,3138,2887,1378,1651,1605,1514,0.296976241900648,0.3714902807775378,0.0,0.06047516198704104,0.2084233261339093,0.12526997840172785,42363,0.4391332058636074,0.920012746972594,0.9721380981223501,0.9170199878861296,60014077003,6001407700
41,"Block Group 1, Census Tract 4077, Alameda County, California",1379,1146,356,706,0,14,0,16,54,0,54,233,44,0,407700,1,42363,3138,2887,1378,1651,1605,1514,0.25815808556925307,0.5119651921682379,0.0,0.01015228426395939,0.16896301667875271,0.08992023205221175,42363,0.4391332058636074,0.920012746972594,0.9721380981223501,0.9170199878861296,60014077001,6001407700
42,"Block Group 4, Census Tract 4077, Alameda County, California",946,876,332,416,0,69,0,0,59,0,59,70,10,0,407700,4,42363,3138,2887,1378,1651,1605,1514,0.35095137420718814,0.4397463002114165,0.0,0.07293868921775898,0.07399577167019028,0.12473572938689217,42363,0.4391332058636074,0.920012746972594,0.9721380981223501,0.9170199878861296,60014077004,6001407700
43,"Block Group 1, Census Tract 4204, Alameda County, California",3062,2150,971,37,11,935,13,13,170,0,170,912,327,0,420400,1,28125,1990,1946,1514,1129,1115,383,0.3171129980404964,0.012083605486610059,0.0035924232527759633,0.3053559764859569,0.29784454604833444,0.11952971913781842,28125,0.7608040201005025,0.9778894472361809,0.9875996457041629,0.3392382639503986,60014204001,6001420400
44,"Block Group 3, Census Tract 4282, Alameda County, California",1370,1239,635,307,0,261,0,0,36,0,36,131,15,0,428200,3,53255,4872,4546,2665,2661,2581,2389,0.4635036496350365,0.2240875912408759,0.0,0.1905109489051095,0.09562043795620438,0.052554744525547446,53255,0.5470032840722496,0.9330870279146142,0.9699361142427658,0.8977827884254039,60014282003,6001428200
45,"Block Group 2, Census Tract 4282, Alameda County, California",1694,1476,887,71,0,479,14,0,25,0,25,218,52,0,428200,2,53255,4872,4546,2665,2661,2581,2389,0.5236127508854782,0.04191263282172373,0.0,0.2827626918536009,0.12868949232585597,0.03778040141676505,53255,0.5470032840722496,0.9330870279146142,0.9699361142427658,0.8977827884254039,60014282002,6001428200
