Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,4,S,60014076004,37.7748361,-122.2052873,G5030,Block Group 4,6,407600,198514,0,37.774801,-122.205166,1,rooftop,2129,50th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,5,S,60014076005,37.7765446,-122.2079969,G5030,Block Group 5,6,407600,190946,0,37.776554,-122.207864,1,rooftop,4500,Ellen St,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014077001,37.7743819,-122.1900897,G5030,Block Group 1,6,407700,302044,0,37.774441,-122.189986,1,rooftop,5715,Picardy Dr,,,Oakland,CA,Alameda County,94605,US,Alameda
1,2,S,60014077002,37.7754718,-122.1957234,G5030,Block Group 2,6,407700,202977,0,37.775395,-122.195781,1,rooftop,5335,El Camile Ave,,,Oakland,CA,Alameda County,94619,US,Alameda
1,3,S,60014077003,37.7791055,-122.1964733,G5030,Block Group 3,6,407700,209448,0,37.779165,-122.196568,1,rooftop,2760,Best Ave,,,Oakland,CA,Alameda County,94619,US,Alameda
1,4,S,60014077004,37.7780988,-122.1919345,G5030,Block Group 4,6,407700,203527,0,37.778158,-122.191931,1,rooftop,3051,Birdsall Ave,,,Oakland,CA,Alameda County,94619,US,Alameda
1,2,S,60014212002,37.8932124,-122.2729532,G5030,Block Group 2,6,421200,498078,0,37.893122,-122.272949,1,rooftop,912,Indian Rock Ave,,,Berkeley,CA,Alameda County,94707,US,Berkeley
1,3,S,60014212003,37.8970607,-122.2774898,G5030,Block Group 3,6,421200,289068,0,37.896947,-122.277477,1,rooftop,1936,Thousand Oaks Blvd,,,Berkeley,CA,Alameda County,94707,US,Berkeley
1,4,S,60014212004,37.9005666,-122.2771576,G5030,Block Group 4,6,421200,311605,0,37.900479,-122.277018,1,rooftop,539,Arlington Ave,,,Berkeley,CA,Alameda County,94707,US,Berkeley
1,1,S,60014094001,37.7450232,-122.1732307,G5030,Block Group 1,6,409400,127231,0,37.744901,-122.173051,1,rooftop,1300,96th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,3,S,60014074003,37.7726335,-122.2115616,G5030,Block Group 3,6,407400,128793,0,37.772558,-122.211444,1,rooftop,1600,45th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,3,S,60014217003,37.8792036,-122.2698581,G5030,Block Group 3,6,421700,141469,0,37.879417,-122.269869,1,rooftop,1536,Shattuck Ave,,,Berkeley,CA,Alameda County,94709,US,Alameda
1,1,S,60014003001,37.8439848,-122.2486668,G5030,Block Group 1,6,400300,265695,0,37.843939,-122.248587,1,rooftop,5592,Lawton Ave,,,Oakland,CA,Alameda County,94618,US,Alameda
1,2,S,60014018002,37.8080542,-122.299469,G5030,Block Group 2,6,401800,142635,0,37.808066,-122.299465,1,rooftop,824,Willow St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,2,S,60014017002,37.8137274,-122.2975727,G5030,Block Group 2,6,401700,708287,0,37.813462,-122.297418,1,rooftop,1750,14th St,,,Oakland,CA,Alameda County,94607,US,Alameda
